publishedAt,authorDisplayName,comment,likeCount
2023-05-08T14:43:13Z,DAVIY OFFICIAL,Ya kinerja aja buat apa penghargaan,0
2023-05-07T05:27:33Z,Nes Paerta,"Kalo survei ini termasuk yg paling akurat volingnya.Mau bagaimanapun tetap Ganjar yg paling tinggi .mau kiamat,getap ganjar di atas malah bisa 130 %,karena orang surveinya sudah dikasih rech.Dasr orang munafik.😀😀😀😀😀😀😀😀😀😀",0
2023-05-07T05:19:17Z,Mono Entertainment,Pak Ganjar Pranowo The Next Presiden RI ❤️❤️❤️❤️❤️❤️❤️,0
2023-05-07T05:11:03Z,Harpensyah Harpensyah,"Sekali Pak Ganjar tetap Pak Ganjar, itulah motto kami, tidak bisa pindah kelain orang, apapun itu bentuknya, kami gak ngaruh ....",2
2023-05-07T10:43:57Z,Burhan Uddin,Sama juga bos ku sekali anis tetap anis mau kalah atau menang itu ke hendak allah.,0
2023-05-07T05:06:27Z,ROHMAT RORI,"Alhamdulillah....<br>Semangat SELALU UNTUK INDONESIA,,,<br>Mendukung Dan Memilih Pak Ganjar Pranowo 🙏💪🇮🇩🇮🇩🇮🇩",7
2023-05-07T12:58:54Z,ROHMAT RORI,"@Ateng Jaelani hahahaha...<br>Itu kan menurut kaum pembenci,<br>Insyaallah Ganjar Pranowo RI 1💪🇮🇩<br>Dari pada Gubernur TERBODOH sepanjang sejarah dunia ini.<br>Cek di google itu baru bener,,",0
2023-05-07T12:38:59Z,Ateng Jaelani,"Hahaa Ganjar presiden tiktok,dan film porno",2
2023-05-07T05:04:29Z,Sebar Tutorial,"Anies kalah terus di survei gubernur, tapi nyatanya menang, jangan percaya lembaga survei, yang di survei cuma 1200 orang, sedangkan ILC puluhan ribu orang dan Anies yg unggul..",0
2023-05-07T04:59:08Z,watu malang,Pribumi presiden nkri. Harga mati!!!!!,0
2023-05-07T04:57:03Z,Hari Yanto,Yang g puas kinerja Jokowi  hanya ora ng2 oposisi  pantas cuma nyinyir  cari sensasi dg rakyat  g bodooh  loo,0
2023-05-07T04:24:08Z,Mega Aulia,"Demokrat ngeyel tidak menyadari kepemimpinan sby saat jadi presiden yang katanya &quot; tutup telinga dan katakan tidak pada korupsi &quot; nyatanya kadernya banyak yg pada korupsi , jadilah candi hambalang .",0
2023-05-07T04:18:55Z,Edy Taufik,"Kami dari Aceh pilih pak Anies Baswedan yg ada rekam jejak selama 5 thn jadi Gubernur DKI, kalau yg lain baru 2 thn jabat Gubernur ngundurkan diri krn aji mumpung ikut nyapres ga sesuai janji kampanye wkt ikut Pilkada DKI. Utk apa pilih capres 2024 mendatang yg meneruskan rezim garong trilyunan uang bansos, Jiwasraya, Asabri, ada kasus Judi online, kasus trilyunan di Kemenkeu dan nambah hutang ribuan triliun ke pemerintah Tiongkok yg mengharap jd negara maju seperti Korea atau Jepang tapi hutang negeri sampai 50 thn lebih blm bisa lunas.",0
2023-05-07T04:06:01Z,SOUND BASS,Naaah pa anis konsisten terus  di urutan ke 3..kelpompok ganjar kenapa ketakutan ya panas..!wkkwkwkwk.kan aneh,0
2023-05-07T03:59:02Z,Ugi Sawa,klo yenny wahid dipasangkan dengan anies saya yakin bisa menang telak.<br><br>kelompok cerdas pendukung anies plus kelompok NU tradisional pasti bakal menang .<br>logikanya sih gtu,0
2023-05-07T03:56:32Z,Tawardi Hartono,"Ganjar dan Prabowo baru mulai bergerak udh masuk 3 besar,tp yg sudah berbulan2 tak ada peningkatan...ya percaya ga percaya tp itu bukan Gerindra / PDIP yg bikin survei",0
2023-05-07T03:50:04Z,Hari Turanto,Herzaki herzaki .. yg mau dirubah apanya  NKRI sudah mapan tinggal lanjutkan aja,0
2023-05-07T03:48:45Z,Ugi Sawa,"disemua survey pak anies selalu nomer terakhir .<br>tapi di polling , siapapun yg bikin polling termasuk punyanya para buzzer selalu anies yg no 1. <br><br><br>kok berlawanan gini hasilnya <br><br>what hepen",0
2023-05-07T03:46:36Z,Amri Wibowo,Jgn percaya survei skrng survei tdk akurat,0
2023-05-07T03:46:34Z,Angga Bagong,Partai pdip udah nyewa badan surpai buat nakut nakutin para pendukung pak anis,0
2023-05-07T02:37:58Z,Anto Blues,Siapapun  wakilnya  anis tetep  capresnya,0
2023-05-07T02:36:42Z,Bada Triutomo,analisis  mas  Burhanuddin  selalu  ditunggu  banyak  kalangan.,4
2023-05-07T02:30:20Z,Darsono Jhon,"Mantap Anis mencalonkan presiden yg penting nasdem , demokrat klu tdk membagi&quot; uang .sia&quot; keliling se indonesia masy mengharapkan uang dari Anis dan Ahy.royal ga...",0
2023-05-07T02:29:07Z,satrio paningit ragiel gowor. Am,bismillah pak ganjar penerus pak jokowi amin,0
2023-05-07T02:19:10Z,Muhtadismuhtadis Muhtadis,Bisa jadi nih Kalau prabowo mnang akan membela rakyat dan juga membela penguasa kalau kalah para penguasa trkena sanksi atas kcurangan 2019 jika pranowo menang akan membela rakyat dan membela para penguasa tapi jika kalah pranowo dapat teguran sama penguasa jika anis mnang pembela rakyat sepenuhnya jika kalah rakyat rugi.,0
2023-05-07T02:11:07Z,DEMIAN SUMBAR,METRO TV punya beban untuk memenangkan anis lho.😂,0
2023-05-07T02:01:23Z,Amel Delifa,"YANG PENTING BAPAK BAHAGIA AJA DULU🙂 ,",0
